spp,size,family,fg,habitat,Included
Canthigaster solandri,11.5,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster valentini,11,Tetraodontidae,Micro-invertivore,Reef,1
Caracanthus maculatus,5,Caracanthidae,Piscivore,Reef,1
Caracanthus typicus,2.9,Caracanthidae,Piscivore,Reef,1
Pterocaesio marri,35,Caesionidae,Planktivore,Pelagic,0
Pterocaesio pisang,21,Caesionidae,Planktivore,Pelagic,0
Pterocaesio tile,30,Caesionidae,Planktivore,Pelagic,0
Pterocaesio trilineata,20,Caesionidae,Planktivore,Pelagic,0
Alectis ciliaris,150,Carangidae,Piscivore,Pelagic,0
Carangoides ferdau,70,Carangidae,Piscivore,Pelagic,0
Carangoides fulvoguttatus,120,Carangidae,Piscivore,Pelagic,0
Carangoides oblongus,46,Carangidae,Piscivore,Pelagic,0
Carangoides orthogrammus,75,Carangidae,Piscivore,Pelagic,0
Carangoides plagiotaenia,50,Carangidae,Piscivore,Pelagic,0
Caranx bartholomaei,100,Carangidae,Piscivore,Pelagic,0
Caranx crysos,70,Carangidae,Piscivore,Pelagic,0
Caranx ignobilis,170,Carangidae,Piscivore,Pelagic,0
Caranx latus,101,Carangidae,Piscivore,Pelagic,0
Caranx lugubris,100,Carangidae,Piscivore,Pelagic,0
Caranx melampygus,117,Carangidae,Piscivore,Pelagic,0
Caranx papuensis,88,Carangidae,Piscivore,Pelagic,0
Caranx ruber,65,Carangidae,Piscivore,Pelagic,0
Caranx sexfasciatus,120,Carangidae,Piscivore,Pelagic,0
Caranx sp,80,Carangidae,Piscivore,Pelagic,0
Centropyge acanthops,8,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge argi,8,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge bicolor,15,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge bispinosa,10,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge bispinosus,10,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge fisheri,7.5,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge flavicauda,8,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge flavissima,14,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge heraldi,10,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge hotumatua,8,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge interruptus,15,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge loricula,15,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge loriculus,8,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge multifasciata,12,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge multispinis,14,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge potteri,10,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge shepardi,9,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge sp,12,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge sp,12,Pomacanthidae,Micro-invertivore,Reef,1
Centropyge vrolikii,12,Pomacanthidae,Micro-invertivore,Reef,1
Cephalopholis argus,60,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis argus,60,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis cruentatus,42,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis cyanostigma,40,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis formosa,34,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis fulvus,41,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis leopardus,24,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis microprion,25,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis miniata,50,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis nigripinnis,28,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis sexmaculata,50,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis sonnerati,57,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis sp,50,Epinephilidae,Pisci-invertivore,Reef,1
Cephalopholis spiloparaea,30,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis urodeta,28,Serranidae,Pisci-invertivore,Reef,1
Cephalopholis urodeta,28,Serranidae,Pisci-invertivore,Reef,1
Cetoscarus bicolor,90,Scaridae,Excavator/scraper,Reef,1
Cetoscarus ocellatus,80,Scaridae,Excavator/scraper,Reef,1
Decapterus macarellus,46,Carangidae,Planktivore,Pelagic,0
Chaetodon aureofasciatus,12.5,Chaetodontidae,Corallivore,Reef,1
Chaetodon auriga,23,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon baronessa,16,Chaetodontidae,Corallivore,Reef,1
Chaetodon bennetti,20,Chaetodontidae,Corallivore,Reef,1
Chaetodon capistratus,7.5,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon citrinellus,13,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon ephippium,30,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon falcula,20,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon falcula,20,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon flavirostris,20,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon flavirostris,20,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon flavocoronatus,12,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon fremblii,13,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon guttatissimus,12,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon kleinii,15,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon lineolatus,30,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon litus,15.5,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon lunula,20,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon lunulatus,14,Chaetodontidae,Corallivore,Reef,1
Chaetodon madagaskariensis,13,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon melannotus,18,Chaetodontidae,Corallivore,Reef,1
Chaetodon mertensii,12.5,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon meyeri,20,Chaetodontidae,Corallivore,Reef,1
Chaetodon miliaris,13,Chaetodontidae,Planktivore,Reef,1
Chaetodon multicinctus,12,Chaetodontidae,Corallivore,Reef,1
Chaetodon ocellatus,20,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon ocellicaudus,15,Chaetodontidae,Corallivore,Reef,1
Chaetodon ornatissimus,20,Chaetodontidae,Corallivore,Reef,1
Chaetodon oxycephalus,25,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon pelewensis,12.5,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon plebeius,15,Chaetodontidae,Corallivore,Reef,1
Chaetodon plebeius,15,Chaetodontidae,Corallivore,Reef,1
Chaetodon punctatofasciatus,12,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon quadrimaculatus,16,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon rafflesii,18,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon rafflesii,18,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon rainfordi,15,Chaetodontidae,Corallivore,Reef,1
Chaetodon reticulatus,18,Chaetodontidae,Corallivore,Reef,1
Chaetodon sedentarius,15,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon semeion,26,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon smithi,19,Chaetodontidae,Planktivore,Reef,1
Chaetodon speculum,18,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon striatus,16,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon tinkeri,15,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon triangulum,16,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon trifascialis,18,Chaetodontidae,Corallivore,Reef,1
Chaetodon trifasciatus,15,Chaetodontidae,Corallivore,Reef,1
Chaetodon trifasciatus,15,Chaetodontidae,Corallivore,Reef,1
Chaetodon ulietensis,15,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon unimaculatus,20,Chaetodontidae,Corallivore,Reef,1
Chaetodon unimaculatus,20,Chaetodontidae,Corallivore,Reef,1
Chaetodon vagabundus,23,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon xanthocephalus,20,Chaetodontidae,Micro-invertivore,Reef,1
Chaetodon zanzibarensis,12,Chaetodontidae,Corallivore,Reef,1
Channomuraena vittata,150,Muraenidae,Piscivore,Reef,1
Gnathanodon speciosus,120,Carangidae,Piscivore,Pelagic,0
Cheilinus bimaculatus,15,Labridae,Macro-invertivore,Reef,1
Cheilinus chlorourus,45,Labridae,Macro-invertivore,Reef,1
Cheilinus fasciatus,40,Labridae,Macro-invertivore,Reef,1
Cheilinus oxycephalus,17,Labridae,Macro-invertivore,Reef,1
Cheilinus sp,30,Labridae,Macro-invertivore,Reef,1
Cheilinus trilobatus,45,Labridae,Macro-invertivore,Reef,1
Cheilinus undulatus,229,Labridae,Macro-invertivore,Reef,1
Cheilio inermis,50,Labridae,Piscivore,Reef,1
Cheilodactylus plessisi,60,Latridae,Macro-invertivore,Reef,1
Cheilodactylus vittatus,60,Cheilodactylidae,Macro-invertivore,Reef,1
Cheilodipterus artus,18.7,Apogonidae,Planktivore,Reef,1
Cheilodipterus macrodon,25,Apogonidae,Planktivore,Reef,1
Cheilodipterus quinquelineatus,13,Apogonidae,Planktivore,Reef,1
Cheilodipterus sp,20,Apogonidae,Planktivore,Reef,1
Chelmon rostratus,20,Chaetodontidae,Micro-invertivore,Reef,1
Chelonodon patoca,38,Tetraodontidae,Micro-invertivore,Reef,1
Chilomycterus antennatus,38,Diodontidae,Micro-invertivore,Reef,1
Chilomycterus schoepfi,25,Diodontidae,Micro-invertivore,Reef,1
Chlorurus atrilunula,30,Scaridae,Excavator/scraper,Reef,1
Chlorurus bleekeri,49,Scaridae,Excavator/scraper,Reef,1
Chlorurus capistratoides,40,Scaridae,Excavator/scraper,Reef,1
Chlorurus enneacanthus,50,Scaridae,Excavator/scraper,Reef,1
Chlorurus frontalis,50,Scaridae,Excavator/scraper,Reef,1
Chlorurus gibbus,70,Scaridae,Excavator/scraper,Reef,1
Chlorurus japanensis,31,Scaridae,Excavator/scraper,Reef,1
Chlorurus microrhinos,70,Scaridae,Excavator/scraper,Reef,1
Chlorurus microrhinos,70,Scaridae,Excavator/scraper,Reef,1
Chlorurus perspicillatus,60.9,Scaridae,Excavator/scraper,Reef,1
Chlorurus sordidus,40,Scaridae,Excavator/scraper,Reef,1
Chlorurus sp,45,Scaridae,Excavator/scraper,Reef,1
Chlorurus strongylocephalus,70,Scaridae,Excavator/scraper,Reef,1
Chlorurus strongylocephalus,70,Scaridae,Excavator/scraper,Reef,1
Choerodon anchorago,50,Labridae,Micro-invertivore,Reef,1
Choerodon fasciatus,30,Labridae,Micro-invertivore,Reef,1
Choerodon graphicus,51.5,Labridae,Micro-invertivore,Reef,1
Choerodon jordani,17,Labridae,Micro-invertivore,Reef,1
Chromis acares,4,Pomacentridae,Planktivore,Reef,1
Chromis agilis,7.5,Pomacentridae,Planktivore,Reef,1
Chromis alpha,8.5,Pomacentridae,Planktivore,Reef,1
Chromis amboinensis,10,Pomacentridae,Planktivore,Reef,1
Chromis atripectoralis,12,Pomacentridae,Planktivore,Reef,1
Chromis bami,5.8,Pomacentridae,Planktivore,Reef,1
Chromis caudalis,7.5,Pomacentridae,Planktivore,Reef,1
Chromis cyanea,15,Pomacentridae,Planktivore,Reef,1
Chromis dimidiata,9,Pomacentridae,Planktivore,Reef,1
Chromis fumea,10,Pomacentridae,Planktivore,Reef,1
Chromis hanui,6,Pomacentridae,Planktivore,Reef,1
Chromis insolata,16,Pomacentridae,Planktivore,Reef,1
Chromis iomelas,8,Pomacentridae,Planktivore,Reef,1
Chromis lepidolepis,9,Pomacentridae,Planktivore,Reef,1
Chromis leucura,8.5,Pomacentridae,Planktivore,Reef,1
Chromis margaritifer,9,Pomacentridae,Planktivore,Reef,1
Chromis multilineata,20,Pomacentridae,Planktivore,Reef,1
Chromis nigrura,6,Pomacentridae,Planktivore,Reef,1
Chromis opercularis,17,Pomacentridae,Planktivore,Reef,1
Chromis ovalis,15,Pomacentridae,Planktivore,Reef,1
Chromis pamae,10.4,Pomacentridae,Planktivore,Reef,1
Chromis randalli,15,Pomacentridae,Planktivore,Reef,1
Chromis ternatensis,10.5,Pomacentridae,Planktivore,Reef,1
Chromis vanderbilti,4.5,Pomacentridae,Planktivore,Reef,1
Chromis verater,16,Pomacentridae,Planktivore,Reef,1
Chromis viridis,10,Pomacentridae,Planktivore,Reef,1
Chromis weberi,13.5,Pomacentridae,Planktivore,Reef,1
Chromis xanthura,17,Pomacentridae,Planktivore,Reef,1
Chromis xutha,7,Pomacentridae,Planktivore,Reef,1
Chrysiptera biocellata,12.5,Pomacentridae,Grazer,Reef,1
Chrysiptera biocellata,12.5,Pomacentridae,Grazer,Reef,1
Chrysiptera brownriggii,8,Pomacentridae,Micro-invertivore,Reef,1
Chrysiptera brownriggii,8,Pomacentridae,Micro-invertivore,Reef,1
Chrysiptera cyanea,8.5,Pomacentridae,Grazer,Reef,1
Chrysiptera galba,7,Pomacentridae,Grazer,Reef,1
Chrysiptera glauca,11.5,Pomacentridae,Grazer,Reef,1
Chrysiptera rapanui,5.5,Pomacentridae,Micro-invertivore,Reef,1
Chrysiptera rex,7,Pomacentridae,Grazer,Reef,1
Chrysiptera rollandi,7.5,Pomacentridae,Micro-invertivore,Reef,1
Chrysiptera talboti,6,Pomacentridae,Planktivore,Reef,1
Chrysiptera taupou,8,Pomacentridae,Planktivore,Reef,1
Chrysiptera traceyi,4.5,Pomacentridae,Planktivore,Reef,1
Cirrhilabrus exquisitus,12,Labridae,Micro-invertivore,Reef,1
Cirrhilabrus jordani,10,Labridae,Micro-invertivore,Reef,1
Cirrhilabrus katherinae,7.1,Labridae,Micro-invertivore,Reef,1
Cirrhilabrus marjorie,5.8,Labridae,Micro-invertivore,Reef,1
Cirrhilabrus punctatus,13,Labridae,Micro-invertivore,Reef,1
Cirrhilabrus scottorum,13,Labridae,Micro-invertivore,Reef,1
Cirrhilabrus sp,10,Labridae,Micro-invertivore,Reef,1
Cirrhilabrus sp,10,Labridae,Micro-invertivore,Reef,1
Cirrhitichthys falco,7,Cirrhitidae,Micro-invertivore,Reef,1
Cirrhitichthys oxycephalus,10,Cirrhitidae,Micro-invertivore,Reef,1
Cirrhitops fasciatus,12.7,Cirrhitidae,Micro-invertivore,Reef,1
Cirrhitops hubbardi,25,Cirrhitidae,Micro-invertivore,Reef,1
Cirrhitus pinnulatus,30,Cirrhitidae,Micro-invertivore,Reef,1
Cirripectes alboapicalis,15.5,Blenniidae,Detritivore,Reef,1
Cirripectes castaneus,9.2,Blenniidae,Detritivore,Reef,1
Cirripectes filamentosus,7.5,Blenniidae,Detritivore,Reef,1
Cirripectes obscurus,13.4,Blenniidae,Detritivore,Reef,1
Cirripectes polyzona,13,Blenniidae,Detritivore,Reef,1
Cirripectes sp,11,Blenniidae,Detritivore,Reef,1
Cirripectes sp,11,Blenniidae,Detritivore,Reef,1
Cirripectes springeri,10,Blenniidae,Detritivore,Reef,1
Cirripectes stigmaticus,10,Blenniidae,Detritivore,Reef,1
