,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Bothus lunatus,NA,NA,Bothidae,NA,NA,NA,NA,46,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Bothus ocellatus,NA,NA,Bothidae,NA,NA,NA,NA,18,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Bothus pantherinus,NA,NA,Bothidae,NA,NA,NA,NA,39,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Bryaninops sp,NA,NA,Gobiidae,NA,NA,NA,NA,5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caesio cuning,NA,NA,Caesionidae,NA,NA,NA,Planktivore,60,Reef,1,Planktivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Caesio sp,NA,NA,Caesionidae,NA,NA,NA,NA,50,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caesio sp,NA,NA,Caesionidae,NA,NA,NA,NA,50,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caesio varilineata,NA,NA,Caesionidae,NA,NA,NA,NA,40,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Caesio xanthonota,NA,NA,Caesionidae,NA,NA,NA,NA,40,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Calamus calamus,NA,NA,Sparidae,NA,NA,NA,NA,56,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Calamus pennatula,NA,NA,Sparidae,NA,NA,NA,NA,37,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
