"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"360","Hipposcarus longiceps","HILO","Scaridae","Parrotfish","PRIMARY",60,"Scaridae","Excavator/scraper","Reef",1
"361","Hologymnosus annulatus","HOAN","Labridae","Wrasse","SECONDARY",40,"Labridae","Pisci-invertivore","Reef",1
"362","Hologymnosus doliatus","HODO","Labridae","Wrasse","SECONDARY",50,"Labridae","Pisci-invertivore","Reef",1
"363","Hoplolatilus starcki","HOST","Malacanthidae","Tilefish","SECONDARY",15.5,"Malacanthidae","Planktivore","Reef",1
"364","Iniistius aneitensis","INAN","Labridae","Wrasse","SECONDARY",24,"Labridae","Micro-invertivore","Reef",1
"365","Iniistius pavo","INPA","Labridae","Wrasse","SECONDARY",41,"Labridae","Micro-invertivore","Reef",1
"366","Iniistius umbrilatus","INUM","Labridae","Wrasse","SECONDARY",17.5,"Labridae","Micro-invertivore","Reef",1
"367","Istigobius decoratus","ISDE","Gobiidae","Goby","SECONDARY",13,"Gobiidae","Detritivore","Reef",1
"368","Istigobius sp","ISSP","Gobiidae","Goby","PLANKTIVORE",13,"Gobiidae","Detritivore","Reef",1
"369","Kuhlia sandvicensis","KUSA","Kuhliidae","Aholehole","PLANKTIVORE",21.4,"Kuhliidae","Pisci-invertivore","Reef",1
"370","Kyphosus cinerascens","KYCI","Kyphosidae","Chub","PRIMARY",50,"Kyphosidae","Browser","Reef",1
"371","Kyphosus hawaiiensis","KYHA","Kyphosidae","Chub","PRIMARY",41,"Kyphosidae","Browser","Reef",1
"372","Kyphosus pacificus","KYPA","Kyphosidae","Chub","PRIMARY",45,"Kyphosidae","Browser","Reef",1
"373","Kyphosus sandwicensis","KYSA","Kyphosidae","Chub","PRIMARY",75,"Kyphosidae","Browser","Reef",1
"374","Kyphosus sp","CHUB","Kyphosidae","Chub","PRIMARY",75,"Kyphosidae","Browser","Reef",1
"375","Kyphosus sp","CHUB","Kyphosidae","Chub","PRIMARY",75,"Kyphosidae","Browser","Reef",1
"376","Kyphosus sp","CHUB","Kyphosidae","Chub","PRIMARY",75,"Kyphosidae","Browser","Reef",1
"377","Kyphosus vaigiensis","KYVA","Kyphosidae","Chub","PRIMARY",70,"Kyphosidae","Browser","Reef",1
"378","Labrichthys unilineatus","LAUN","Labridae","Wrasse","SECONDARY",17.5,"Labridae","Corallivore","Reef",1
"379","Labroides bicolor","LABI","Labridae","Wrasse","SECONDARY",15,"Labridae","Micro-invertivore","Reef",1
"380","Labroides dimidiatus","LADI","Labridae","Wrasse","SECONDARY",14,"Labridae","Micro-invertivore","Reef",1
"381","Labroides pectoralis","LAPE","Labridae","Wrasse","SECONDARY",11,"Labridae","Micro-invertivore","Reef",1
"382","Labroides phthirophagus","LAPH","Labridae","Wrasse","SECONDARY",12,"Labridae","Micro-invertivore","Reef",1
"383","Labroides rubrolabiatus","LARU","Labridae","Wrasse","SECONDARY",9,"Labridae","Micro-invertivore","Reef",1
"384","Labropsis xanthonota","LAXA","Labridae","Wrasse","SECONDARY",13,"Labridae","Corallivore","Reef",1
"385","Lactoria fornasini","LAFO","Ostraciidae","Boxfish","SECONDARY",23,"Ostraciidae","Micro-invertivore","Reef",1
"386","Lepidozygus tapeinosoma","LETA","Pomacentridae","Damselfish","PLANKTIVORE",10.5,"Pomacentridae","Planktivore","Reef",1
"387","Lethrinus erythracanthus","LEER","Lethrinidae","Emperor","SECONDARY",70,"Lethrinidae","Pisci-invertivore","Reef",1
"388","Lethrinus harak","LEHA","Lethrinidae","Emperor","SECONDARY",50,"Lethrinidae","Pisci-invertivore","Reef",1
"389","Lethrinus obsoletus","LEOB","Lethrinidae","Emperor","SECONDARY",60,"Lethrinidae","Pisci-invertivore","Reef",1
"390","Lethrinus olivaceus","LEOL","Lethrinidae","Emperor","PISCIVORE",100,"Lethrinidae","Pisci-invertivore","Reef",1
"391","Lethrinus rubrioperculatus","LERU","Lethrinidae","Emperor","SECONDARY",50,"Lethrinidae","Pisci-invertivore","Reef",1
"392","Lethrinus sp","LETH","Lethrinidae","Emperor","SECONDARY",70,"Lethrinidae","Pisci-invertivore","Reef",1
"393","Lethrinus xanthochilus","LEXA","Lethrinidae","Emperor","PISCIVORE",70,"Lethrinidae","Pisci-invertivore","Reef",1
"394","Lutjanus bohar","LUBO","Lutjanidae","Snapper","PISCIVORE",90,"Lutjanidae","Piscivore","Reef",1
"395","Lutjanus fulvus","LUFU","Lutjanidae","Snapper","SECONDARY",40,"Lutjanidae","Pisci-invertivore","Reef",1
"396","Lutjanus gibbus","LUGI","Lutjanidae","Snapper","SECONDARY",50,"Lutjanidae","Pisci-invertivore","Reef",1
"397","Lutjanus kasmira","LUKA","Lutjanidae","Snapper","SECONDARY",40,"Lutjanidae","Pisci-invertivore","Reef",1
"398","Lutjanus monostigma","LUMO","Lutjanidae","Snapper","PISCIVORE",60,"Lutjanidae","Pisci-invertivore","Reef",1
"399","Lutjanus semicinctus","LUSE","Lutjanidae","Snapper","PISCIVORE",35,"Lutjanidae","Pisci-invertivore","Reef",1
"400","Luzonichthys whitleyi","LUWH","Serranidae","Anthias","PLANKTIVORE",5.8,"Serranidae","Planktivore","Reef",1
"401","Macolor macularis","MAMA","Lutjanidae","Snapper","PLANKTIVORE",60,"Lutjanidae","Pisci-invertivore","Reef",1
"402","Macolor niger","MANI","Lutjanidae","Snapper","PLANKTIVORE",75,"Lutjanidae","Pisci-invertivore","Reef",1
"403","Macolor niger","MANI","Lutjanidae","Snapper","PLANKTIVORE",75,"Lutjanidae","Pisci-invertivore","Reef",1
"404","Macolor sp","MACO","Lutjanidae","Snapper","PLANKTIVORE",75,"Lutjanidae","Pisci-invertivore","Reef",1
"405","Macropharyngodon geoffroy","MAGE","Labridae","Wrasse","SECONDARY",15,"Labridae","Micro-invertivore","Reef",1
"406","Macropharyngodon meleagris","MAME","Labridae","Wrasse","SECONDARY",15,"Labridae","Micro-invertivore","Reef",1
"407","Malacanthus brevirostris","MABR","Malacanthidae","Tilefish","SECONDARY",32,"Malacanthidae","Macro-invertivore","Reef",1
"408","Malacanthus latovittatus","MALA","Malacanthidae","Tilefish","SECONDARY",45,"Malacanthidae","Macro-invertivore","Reef",1
"409","Manta birostris","MABI","Myliobatidae","Manta Ray","PLANKTIVORE",910,"Mobulidae","Planktivore","Pelagic",0
"410","Meiacanthus atrodorsalis","MEAT","Blenniidae","Blenny","PLANKTIVORE",11,"Blenniidae","Micro-invertivore","Reef",1
"411","Melichthys niger","MENI","Balistidae","Triggerfish","PLANKTIVORE",50,"Balistidae","Planktivore","Reef",1
"412","Melichthys vidua","MEVI","Balistidae","Triggerfish","PRIMARY",40,"Balistidae","Planktivore","Reef",1
"413","Monotaxis grandoculis","MOGR","Lethrinidae","Emperor","SECONDARY",60,"Lethrinidae","Macro-invertivore","Reef",1
"414","Mulloidichthys flavolineatus","MUFL","Mullidae","Goatfish","SECONDARY",43,"Mullidae","Macro-invertivore","Reef",1
"415","Mulloidichthys mimicus","MUMI","Mullidae","Goatfish","SECONDARY",30,"Mullidae","Pisci-invertivore","Reef",1
"416","Mulloidichthys pfluegeri","MUPF","Mullidae","Goatfish","SECONDARY",40,"Mullidae","Pisci-invertivore","Reef",1
"417","Mulloidichthys vanicolensis","MUVA","Mullidae","Goatfish","SECONDARY",38,"Mullidae","Pisci-invertivore","Reef",1
"418","Myrichthys magnificus","MYMA","Ophichthidae","Worm or Snake Eel","SECONDARY",78,"Ophichthidae","Pisci-invertivore","Reef",1
"419","Myripristis adusta","MYAD","Holocentridae","Soldierfish","PLANKTIVORE",35,"Holocentridae","Planktivore","Nocturnal",0
"420","Myripristis amaena","MYAM","Holocentridae","Soldierfish","PLANKTIVORE",26.5,"Holocentridae","Planktivore","Nocturnal",0
"421","Myripristis berndti","MYBE","Holocentridae","Soldierfish","PLANKTIVORE",30,"Holocentridae","Planktivore","Nocturnal",0
"422","Myripristis chryseres","MYCH","Holocentridae","Soldierfish","PLANKTIVORE",25,"Holocentridae","Planktivore","Nocturnal",0
"423","Myripristis earlei","MYEA","Holocentridae","Soldierfish","SECONDARY",24,"Holocentridae","Planktivore","Nocturnal",0
"424","Myripristis kuntee","MYKU","Holocentridae","Soldierfish","PLANKTIVORE",26,"Holocentridae","Planktivore","Nocturnal",0
"425","Myripristis murdjan","MYMU","Holocentridae","Soldierfish","PLANKTIVORE",60,"Holocentridae","Planktivore","Nocturnal",0
"426","Myripristis violacea","MYVL","Holocentridae","Soldierfish","SECONDARY",35,"Holocentridae","Planktivore","Nocturnal",0
"427","Myripristis vittata","MYVI","Holocentridae","Soldierfish","PLANKTIVORE",25,"Holocentridae","Planktivore","Nocturnal",0
"428","Myripristis woodsi","MYWO","Holocentridae","Soldierfish","PLANKTIVORE",25,"Holocentridae","Planktivore","Nocturnal",0
"429","Naso annulatus","NAAN","Acanthuridae","Surgeonfish","PLANKTIVORE",100,"Acanthuridae","Planktivore","Reef",1
"430","Naso brachycentron","NABH","Acanthuridae","Surgeonfish","PRIMARY",90,"Acanthuridae","Browser","Reef",1
"431","Naso brevirostris","NABR","Acanthuridae","Surgeonfish","PLANKTIVORE",60,"Acanthuridae","Planktivore","Reef",1
"432","Naso brevirostris","NABR","Acanthuridae","Surgeonfish","PLANKTIVORE",60,"Acanthuridae","Planktivore","Reef",1
"433","Naso caesius","NACA","Acanthuridae","Surgeonfish","PLANKTIVORE",45.6,"Acanthuridae","Planktivore","Reef",1
"434","Naso hexacanthus","NAHE","Acanthuridae","Surgeonfish","PLANKTIVORE",75,"Acanthuridae","Planktivore","Reef",1
"435","Naso lituratus","NALI","Acanthuridae","Surgeonfish","PRIMARY",46,"Acanthuridae","Browser","Reef",1
"436","Naso lopezi","NALO","Acanthuridae","Surgeonfish","PLANKTIVORE",60,"Acanthuridae","Planktivore","Reef",1
"437","Naso maculatus","NAMA","Acanthuridae","Surgeonfish","PLANKTIVORE",60,"Acanthuridae","Planktivore","Reef",1
"438","Naso sp","NASP","Acanthuridae","Surgeonfish","PLANKTIVORE",60,"Acanthuridae","Planktivore","Reef",1
"439","Naso thynnoides","NATH","Acanthuridae","Surgeonfish","PRIMARY",40,"Acanthuridae","Planktivore","Reef",1
"440","Naso tonganus","NATO","Acanthuridae","Surgeonfish","PRIMARY",60,"Acanthuridae","Browser","Reef",1
"441","Naso unicornis","NAUN","Acanthuridae","Surgeonfish","PRIMARY",70,"Acanthuridae","Browser","Reef",1
"442","Naso vlamingii","NAVL","Acanthuridae","Surgeonfish","PLANKTIVORE",60,"Acanthuridae","Planktivore","Reef",1
"443","Naso vlamingii","NAVL","Acanthuridae","Surgeonfish","PLANKTIVORE",60,"Acanthuridae","Planktivore","Reef",1
"444","Nebrius ferrugineus","NEFE","Ginglymostomatidae","Nurse","PISCIVORE",320,"Ginglymostomatidae","Pisci-invertivore","Shark",0
"445","Nemateleotris helfrichi","NEHE","Microdesmidae","Dartfish","PLANKTIVORE",6,"Microdesmidae","Planktivore","Reef",1
"446","Nemateleotris magnifica","NEMA","Microdesmidae","Dartfish","PLANKTIVORE",9,"Microdesmidae","Planktivore","Reef",1
"447","Neocirrhites armatus","NEAR","Cirrhitidae","Hawkfish","SECONDARY",9,"Cirrhitidae","Micro-invertivore","Reef",1
"448","Neoniphon argenteus","NEAG","Holocentridae","Soldierfish","SECONDARY",24,"Holocentridae","Pisci-invertivore","Nocturnal",0
"449","Neoniphon aurolineatus","NEAU","Holocentridae","Soldierfish","SECONDARY",25,"Holocentridae","Pisci-invertivore","Nocturnal",0
"450","Neoniphon opercularis","NEOP","Holocentridae","Soldierfish","SECONDARY",35,"Holocentridae","Pisci-invertivore","Nocturnal",0
"451","Neoniphon sammara","NESA","Holocentridae","Soldierfish","SECONDARY",32,"Holocentridae","Pisci-invertivore","Nocturnal",0
"452","Neoniphon sp","NESP","Holocentridae","Soldierfish","SECONDARY",30,"Holocentridae","Pisci-invertivore","Nocturnal",0
"453","Neopomacentrus metallicus","NEME","Pomacentridae","Damselfish","PLANKTIVORE",6,"Pomacentridae","Planktivore","Reef",1
"454","Novaculichthys taeniourus","NOTA","Labridae","Wrasse","SECONDARY",30,"Labridae","Macro-invertivore","Reef",1
"455","Odonus niger","ODNI","Balistidae","Triggerfish","PLANKTIVORE",50,"Balistidae","Planktivore","Reef",1
"456","Oplegnathus fasciatus","OPFA","Oplegnathidae","Knifejaw","SECONDARY",80,"Oplegnathidae","Macro-invertivore","Reef",1
"457","Oplegnathus punctatus","OPPU","Oplegnathidae","Knifejaw","SECONDARY",86,"Oplegnathidae","Macro-invertivore","Reef",1
"458","Ostracion cubicus","OSCU","Ostraciidae","Boxfish","PRIMARY",45,"Ostraciidae","Micro-invertivore","Reef",1
"459","Ostracion meleagris","OSME","Ostraciidae","Boxfish","SECONDARY",25,"Ostraciidae","Micro-invertivore","Reef",1
"460","Ostracion whitleyi","OSWH","Ostraciidae","Boxfish","SECONDARY",15.5,"Ostraciidae","Micro-invertivore","Reef",1
"461","Oxycheilinus bimaculatus","OXBI","Labridae","Wrasse","SECONDARY",15,"Labridae","Pisci-invertivore","Reef",1
"462","Oxycheilinus digramma","OXDI","Labridae","Wrasse","PISCIVORE",40,"Labridae","Pisci-invertivore","Reef",1
"463","Oxycheilinus digramma","OXDI","Labridae","Wrasse","PISCIVORE",40,"Labridae","Pisci-invertivore","Reef",1
"464","Oxycheilinus digramma","OXDI","Labridae","Wrasse","PISCIVORE",40,"Labridae","Pisci-invertivore","Reef",1
"465","Oxycheilinus digramma","OXDI","Labridae","Wrasse","PISCIVORE",40,"Labridae","Pisci-invertivore","Reef",1
"466","Oxycheilinus sp","OXSP","Labridae","Wrasse","SECONDARY",40,"Labridae","Pisci-invertivore","Reef",1
"467","Oxycheilinus unifasciatus","OXUN","Labridae","Wrasse","PISCIVORE",46,"Labridae","Pisci-invertivore","Reef",1
"468","Oxycheilinus unifasciatus","OXUN","Labridae","Wrasse","PISCIVORE",46,"Labridae","Pisci-invertivore","Reef",1
"469","Oxycirrhites typus","OXTY","Cirrhitidae","Hawkfish","PLANKTIVORE",13,"Cirrhitidae","Micro-invertivore","Reef",1
"470","Oxymonacanthus longirostris","OXLO","Monacanthidae","Filefish","SECONDARY",12,"Monacanthidae","Micro-invertivore","Reef",1
"471","Oxymonacanthus longirostris","OXLO","Monacanthidae","Filefish","SECONDARY",12,"Monacanthidae","Micro-invertivore","Reef",1
"472","Paracanthurus hepatus","PAHP","Acanthuridae","Surgeonfish","PLANKTIVORE",31,"Acanthuridae","Planktivore","Reef",1
"473","Paracirrhites arcatus","PAAR","Cirrhitidae","Hawkfish","SECONDARY",20,"Cirrhitidae","Micro-invertivore","Reef",1
"474","Paracirrhites forsteri","PAFO","Cirrhitidae","Hawkfish","PISCIVORE",22,"Cirrhitidae","Micro-invertivore","Reef",1
"475","Paracirrhites hemistictus","PAHE","Cirrhitidae","Hawkfish","PISCIVORE",29,"Cirrhitidae","Micro-invertivore","Reef",1
"476","Paracirrhites xanthus","PAXA","Cirrhitidae","Hawkfish","SECONDARY",10,"Cirrhitidae","Micro-invertivore","Reef",1
"477","Paraluteres prionurus","PAPR","Monacanthidae","Filefish","SECONDARY",11,"Monacanthidae","Micro-invertivore","Reef",1
"478","Parapercis clathrata","PACL","Pinguipedidae","Sandperch","SECONDARY",24,"Pinguipedidae","Piscivore","Reef",1
"479","Parapercis millepunctata","PAMI","Pinguipedidae","Sandperch","SECONDARY",18,"Pinguipedidae","Piscivore","Reef",1
"480","Parapercis schauinslandii","PASC","Pinguipedidae","Sandperch","SECONDARY",18,"Pinguipedidae","Piscivore","Reef",1
"481","Parapercis sp","SNDP","Pinguipedidae","Sandperch","SECONDARY",20,"Pinguipedidae","Piscivore","Reef",1
"482","Parupeneus barberinus","PABA","Mullidae","Goatfish","SECONDARY",60,"Mullidae","Macro-invertivore","Reef",1
"483","Parupeneus barberinus","PABA","Mullidae","Goatfish","SECONDARY",60,"Mullidae","Macro-invertivore","Reef",1
"484","Parupeneus chrysonemus","PACH","Mullidae","Goatfish","SECONDARY",19.6,"Mullidae","Micro-invertivore","Reef",1
"485","Parupeneus crassilabris","PACR","Mullidae","Goatfish","SECONDARY",38,"Mullidae","Macro-invertivore","Reef",1
"486","Parupeneus cyclostomus","PACY","Mullidae","Goatfish","PISCIVORE",50,"Mullidae","Pisci-invertivore","Reef",1
"487","Parupeneus insularis","PAIN","Mullidae","Goatfish","SECONDARY",30,"Mullidae","Macro-invertivore","Reef",1
"488","Parupeneus multifasciatus","PAMU","Mullidae","Goatfish","SECONDARY",35,"Mullidae","Macro-invertivore","Reef",1
"489","Parupeneus multifasciatus","PAMU","Mullidae","Goatfish","SECONDARY",35,"Mullidae","Macro-invertivore","Reef",1
"490","Parupeneus pleurostigma","PAPL","Mullidae","Goatfish","SECONDARY",33,"Mullidae","Macro-invertivore","Reef",1
"491","Parupeneus porphyreus","PAPO","Mullidae","Goatfish","SECONDARY",51,"Mullidae","Pisci-invertivore","Reef",1
"492","Pempheris oualensis","PEOU","Pempheridae","Sweeper","PLANKTIVORE",22,"Pempheridae","Planktivore","Reef",1
"493","Pervagor aspricaudus","PEAS","Monacanthidae","Filefish","SECONDARY",13,"Monacanthidae","Micro-invertivore","Reef",1
"494","Pervagor janthinosoma","PEJA","Monacanthidae","Filefish","SECONDARY",13,"Monacanthidae","Micro-invertivore","Reef",1
"495","Pervagor marginalis","PEMA","Monacanthidae","Filefish","SECONDARY",6.2,"Monacanthidae","Micro-invertivore","Reef",1
"496","Pervagor melanocephalus","PEME","Monacanthidae","Filefish","SECONDARY",16,"Monacanthidae","Micro-invertivore","Reef",1
"497","Pervagor sp","PERV","Monacanthidae","Filefish","SECONDARY",10,"Monacanthidae","Micro-invertivore","Reef",1
"498","Pervagor spilosoma","PESP","Monacanthidae","Filefish","SECONDARY",18,"Monacanthidae","Micro-invertivore","Reef",1
"499","Plagiotremus ewaensis","PLEW","Blenniidae","Blenny","SECONDARY",10.2,"Blenniidae","Micro-invertivore","Reef",1
"500","Plagiotremus goslinei","PLGO","Blenniidae","Blenny","SECONDARY",6.3,"Blenniidae","Micro-invertivore","Reef",1
"501","Plagiotremus rhinorhynchos","PLRH","Blenniidae","Blenny","SECONDARY",12,"Blenniidae","Micro-invertivore","Reef",1
"502","Plagiotremus tapeinosoma","PLTA","Blenniidae","Blenny","SECONDARY",14,"Blenniidae","Micro-invertivore","Reef",1
"503","Platax orbicularis","PLOR","Ephippidae","Spadefish","SECONDARY",60,"Ephippidae",NA,"Pelagic",0
"504","Platax teira","PLTE","Ephippidae","Spadefish","SECONDARY",70,"Ephippidae",NA,"Pelagic",0
"505","Platybelone argalus","PLAR","Belonidae","Needlefish","PISCIVORE",50,"Belonidae","Piscivore","Pelagic",0
"506","Plectorhinchus albovittatus","PLAB","Haemulidae","Grunt","SECONDARY",100,"Haemulidae","Pisci-invertivore","Reef",1
"507","Plectorhinchus gibbosus","PLGI","Haemulidae","Grunt","SECONDARY",75,"Haemulidae","Micro-invertivore","Reef",1
"508","Plectorhinchus picus","PLPI","Haemulidae","Grunt","SECONDARY",84,"Haemulidae","Micro-invertivore","Reef",1
"509","Plectorhinchus vittatus","PLVI","Haemulidae","Grunt","SECONDARY",72,"Haemulidae","Micro-invertivore","Reef",1
"510","Plectroglyphidodon dickii","PLDI","Pomacentridae","Damselfish","SECONDARY",11,"Pomacentridae","Micro-invertivore","Reef",1
"511","Plectroglyphidodon imparipennis","PLIM","Pomacentridae","Damselfish","SECONDARY",6,"Pomacentridae","Micro-invertivore","Reef",1
"512","Plectroglyphidodon johnstonianus","PLJO","Pomacentridae","Damselfish","SECONDARY",14,"Pomacentridae","Corallivore","Reef",1
"513","Plectroglyphidodon lacrymatus","PLLA","Pomacentridae","Damselfish","PLANKTIVORE",10,"Pomacentridae","Grazer","Reef",1
"514","Plectroglyphidodon leucozonus","PLLE","Pomacentridae","Damselfish","PRIMARY",12,"Pomacentridae","Grazer","Reef",1
"515","Plectroglyphidodon phoenixensis","PLPH","Pomacentridae","Damselfish","PRIMARY",9,"Pomacentridae","Grazer","Reef",1
"516","Plectroglyphidodon sindonis","PLSI","Pomacentridae","Damselfish","PRIMARY",10,"Pomacentridae","Grazer","Reef",1
"517","Plectropomus areolatus","PLAL","Serranidae","Grouper","PISCIVORE",80,"Serranidae","Piscivore","Reef",1
"518","Plectropomus laevis","PLLV","Serranidae","Grouper","PISCIVORE",125,"Serranidae","Piscivore","Reef",1
"519","Pogonoperca punctata","POPU","Serranidae","Grouper","PISCIVORE",35,"Serranidae","Piscivore","Reef",1
"520","Pomacanthus imperator","POIM","Pomacanthidae","Angelfish","SECONDARY",40,"Pomacanthidae","Spongivore","Reef",1
"521","Pomacentrus brachialis","POBR","Pomacentridae","Damselfish","PLANKTIVORE",8,"Pomacentridae","Planktivore","Reef",1
"522","Pomacentrus coelestis","POCO","Pomacentridae","Damselfish","PLANKTIVORE",9,"Pomacentridae","Planktivore","Reef",1
"523","Pomacentrus pavo","POPA","Pomacentridae","Damselfish","PLANKTIVORE",8.5,"Pomacentridae","Spongivore","Reef",1
"524","Pomacentrus philippinus","POPH","Pomacentridae","Damselfish","PLANKTIVORE",10,"Pomacentridae","Planktivore","Reef",1
"525","Pomacentrus vaiuli","POVA","Pomacentridae","Damselfish","PLANKTIVORE",10,"Pomacentridae","Spongivore","Reef",1
"526","Pomachromis guamensis","POGU","Pomacentridae","Damselfish","PLANKTIVORE",4.5,"Pomacentridae","Planktivore","Reef",1
"527","Pomachromis richardsoni","PORI","Pomacentridae","Damselfish","PLANKTIVORE",6,"Pomacentridae","Planktivore","Reef",1
"528","Priacanthus hamrur","PRHA","Priacanthidae","Bigeye","PLANKTIVORE",45,"Priacanthidae","Pisci-invertivore","Reef",1
"529","Priacanthus meeki","PRME","Priacanthidae","Bigeye","PLANKTIVORE",33,"Priacanthidae","Pisci-invertivore","Reef",1
"530","Priacanthus sp","BIGE","Priacanthidae","Bigeye","PLANKTIVORE",33,"Priacanthidae","Pisci-invertivore","Reef",1
"531","Pseudanthias bartlettorum","PSBA","Serranidae","Anthias","PLANKTIVORE",9,"Serranidae","Planktivore","Reef",1
"532","Pseudanthias bicolor","PSBI","Serranidae","Anthias","PLANKTIVORE",13,"Serranidae","Planktivore","Reef",1
"533","Pseudanthias cooperi","PSCO","Serranidae","Anthias","PLANKTIVORE",14,"Serranidae","Planktivore","Reef",1
"534","Pseudanthias dispar","PSDI","Serranidae","Anthias","PLANKTIVORE",9.5,"Serranidae","Planktivore","Reef",1
"535","Pseudanthias olivaceus","PSOL","Serranidae","Anthias","PLANKTIVORE",8.8,"Serranidae","Planktivore","Reef",1
"536","Pseudanthias pascalus","PSPA","Serranidae","Anthias","PLANKTIVORE",20,"Serranidae","Planktivore","Reef",1
"537","Pseudanthias thompsoni","PSTH","Serranidae","Anthias","PLANKTIVORE",22,"Serranidae","Planktivore","Reef",1
"538","Pseudobalistes flavimarginatus","PSFL","Balistidae","Triggerfish","SECONDARY",60,"Balistidae","Macro-invertivore","Reef",1
"539","Pseudobalistes fuscus","PSFU","Balistidae","Triggerfish","SECONDARY",55,"Balistidae","Macro-invertivore","Reef",1
"540","Pseudocaranx dentex","PSDE","Carangidae","Jack","PISCIVORE",122,"Carangidae","Piscivore","Pelagic",0
"541","Pseudocheilinus evanidus","PSEV","Labridae","Wrasse","SECONDARY",9,"Labridae","Micro-invertivore","Reef",1
"542","Pseudocheilinus hexataenia","PSHE","Labridae","Wrasse","SECONDARY",10,"Labridae","Micro-invertivore","Reef",1
"543","Pseudocheilinus octotaenia","PSOC","Labridae","Wrasse","SECONDARY",14,"Labridae","Micro-invertivore","Reef",1
"544","Pseudocheilinus tetrataenia","PSTE","Labridae","Wrasse","SECONDARY",7.5,"Labridae","Micro-invertivore","Reef",1
"545","Pseudocoris aurantiofasciata","PSAU","Labridae","Wrasse","SECONDARY",20,"Labridae","Planktivore","Reef",1
"546","Pseudocoris heteroptera","PSHT","Labridae","Wrasse","SECONDARY",20,"Labridae","Planktivore","Reef",1
"547","Pseudocoris yamashiroi","PSYA","Labridae","Wrasse","PLANKTIVORE",16,"Labridae","Planktivore","Reef",1
"548","Pseudodax moluccanus","PSMO","Labridae","Wrasse","SECONDARY",30,"Labridae","Micro-invertivore","Reef",1
"549","Pseudojuloides atavai","PSAT","Labridae","Wrasse","SECONDARY",13,"Labridae","Micro-invertivore","Reef",1
"550","Pseudojuloides cerasinus","PSCE","Labridae","Wrasse","SECONDARY",12.3,"Labridae","Micro-invertivore","Reef",1
"551","Psilogobius mainlandi","PSMA","Gobiidae","Goby","SECONDARY",3.7,"Gobiidae","Detritivore","Reef",1
"552","Pteragogus cryptus","PTCR","Labridae","Wrasse","SECONDARY",9.5,"Labridae","Micro-invertivore","Reef",1
"553","Pteragogus enneacanthus","PTEN","Labridae","Wrasse","SECONDARY",15,"Labridae","Micro-invertivore","Reef",1
"554","Ptereleotris evides","PTEV","Ptereleotridae","Dartfish","PLANKTIVORE",14,"Microdesmidae","Planktivore","Reef",1
"555","Ptereleotris heteroptera","PTHE","Ptereleotridae","Dartfish","PLANKTIVORE",14,"Microdesmidae","Planktivore","Reef",1
"556","Ptereleotris microlepis","PTMI","Ptereleotridae","Dartfish","PLANKTIVORE",13,"Microdesmidae","Planktivore","Reef",1
"557","Ptereleotris zebra","PTZE","Ptereleotridae","Dartfish","PLANKTIVORE",12,"Microdesmidae","Planktivore","Reef",1
"558","Pterocaesio marri","PTMA","Caesionidae","Fusilier","PLANKTIVORE",35,"Caesionidae","Planktivore","Pelagic",0
"559","Pterocaesio tile","PTTI","Caesionidae","Fusilier","PLANKTIVORE",30,"Caesionidae","Planktivore","Pelagic",0
"560","Pterocaesio trilineata","PTTR","Caesionidae","Fusilier","PLANKTIVORE",20,"Caesionidae","Planktivore","Pelagic",0
"561","Pterois antennata","PTAN","Scorpaenidae","Scorpionfish","SECONDARY",20,"Scorpaenidae","Pisci-invertivore","Reef",1
"562","Pterois sphex","PTSP","Scorpaenidae","Scorpionfish","PISCIVORE",22,"Scorpaenidae","Pisci-invertivore","Reef",1
"563","Pterois volitans","PTVO","Scorpaenidae","Scorpionfish","PISCIVORE",38,"Scorpaenidae","Pisci-invertivore","Reef",1
"564","Pygoplites diacanthus","PYDI","Pomacanthidae","Angelfish","SECONDARY",25,"Pomacanthidae","Spongivore","Reef",1
"565","Rhinecanthus aculeatus","RHAC","Balistidae","Triggerfish","SECONDARY",30,"Balistidae","Micro-invertivore","Reef",1
"566","Rhinecanthus lunula","RHLU","Balistidae","Triggerfish","SECONDARY",28,"Balistidae","Micro-invertivore","Reef",1
"567","Rhinecanthus rectangulus","RHRE","Balistidae","Triggerfish","SECONDARY",30,"Balistidae","Micro-invertivore","Reef",1
"568","Sargocentron caudimaculatum","SACA","Holocentridae","Soldierfish","SECONDARY",25,"Holocentridae","Pisci-invertivore","Nocturnal",0
"569","Sargocentron diadema","SADI","Holocentridae","Soldierfish","SECONDARY",17,"Holocentridae","Pisci-invertivore","Nocturnal",0
"570","Sargocentron ensifer","SAEN","Holocentridae","Soldierfish","SECONDARY",23,"Holocentridae","Pisci-invertivore","Nocturnal",0
"571","Sargocentron microstoma","SAMI","Holocentridae","Soldierfish","SECONDARY",20,"Holocentridae","Pisci-invertivore","Nocturnal",0
"572","Sargocentron punctatissimum","SAPU","Holocentridae","Soldierfish","SECONDARY",23,"Holocentridae","Pisci-invertivore","Nocturnal",0
"573","Sargocentron sp","SAPP","Holocentridae","Soldierfish","SECONDARY",20,"Holocentridae","Pisci-invertivore","Nocturnal",0
"574","Sargocentron spiniferum","SASP","Holocentridae","Soldierfish","SECONDARY",51,"Holocentridae","Pisci-invertivore","Nocturnal",0
