spp,A2_guild,A2_fg,A2_size,A2_schooling
Paracirrhites hemistictus,Carnivore,Diurnal piscivore,28,1
Paracirrhites xanthus,Carnivore,Diurnal piscivore,11,1
Spratelloides delicatulus,Planktivore,Diurnal planktivore,7,5
Heterocongrinae sp.,Plantivore,Diurnal planktivore,66.7,4
Taeniura meyeni,Carnivore,Invertivore,330,1
Dasyatidae sp.,Carnivore,Invertivore,11.6,4
Diodon holocanthus,Carnivore,Invertivore,38,1
Diodon hystrix,Carnivore,Invertivore,91,1
Encrasicholina purpurea,Planktivore,Diurnal planktivore,8,5
Fistularia commersonii,Carnivore,Diurnal piscivore,160,3
Nebrius ferrugineus,Carnivore,Nocturnal piscivore,320,3
Amblyeleotris fasciata,Planktivore,Diurnal planktivore,8,2
Valenciennea strigata,Carnivore,Invertivore,16,2
Gobiidae sp.,Planktivore,Diurnal planktivore,7.2,3
Plectorhinchus picus,Carnivore,Invertivore,85,1
Myripristinae sp.,Planktivore,Nocturnal planktivore,24,3
Myripristis adusta,Planktivore,Nocturnal planktivore,32,3
Myripristis amaena,Planktivore,Nocturnal planktivore,32,3
Myripristis berndti,Planktivore,Nocturnal planktivore,33,3
Myripristis chryseres,Planktivore,Nocturnal planktivore,25,3
Myripristis earlei,Planktivore,Nocturnal planktivore,24,3
Myripristis kuntee,Planktivore,Nocturnal planktivore,23,3
Myripristis murdjan,Planktivore,Nocturnal planktivore,60,3
Myripristis vittata,Planktivore,Nocturnal planktivore,20,3
Myripristis woodsi,Planktivore,Nocturnal planktivore,25,3
Neoniphon argenteus,Carnivore,Invertivore,18.2,3
Neoniphon aurolineatus,Carnivore,Invertivore,22,3
Neoniphon opercularis,Carnivore,Invertivore,35,3
Neoniphon sammara,Carnivore,Invertivore,32,3
Neoniphon sp.,Carnivore,Invertivore,35,3
Sargocentron caudimaculatum,Carnivore,Invertivore,25,3
Sargocentron diadema,Carnivore,Invertivore,17,3
Sargocentron microstoma,Carnivore,Invertivore,20,3
Sargocentron punctatissimum,Carnivore,Invertivore,13,3
Sargocentron spiniferum,Carnivore,Invertivore,52,3
Sargocentron tiere,Carnivore,Invertivore,33,3
Sargocentron xantherythrum,Carnivore,Invertivore,17,3
Sargocentron sp.,Carnivore,Invertivore,50,3
Kyphosus cinerascens,Herbivore,Browser,51,4
Kyphosus hawaiiensis,Herbivore,Browser,41,4
Kyphosus sandwicensis,Herbivore,Browser,75,4
Kyphosus vaigiensis,Herbivore,Browser,60,4
Kyphosus sp.,Herbivore,Browser,60.4,4
Anampses caeruleopunctatus,Carnivore,Invertivore,42,2
Anampses chrysocephalus,Carnivore,Invertivore,20,3
Anampses cuvier,Carnivore,Invertivore,36,3
Anampses melanurus,Carnivore,Invertivore,12,2
Anampses meleagrides,Carnivore,Invertivore,22,2
Anampses twistii,Carnivore,Invertivore,18,1
Anampses sp.,Carnivore,Invertivore,20,2
Bodianus anthioides,Carnivore,Invertivore,21,1
Bodianus axillaris,Carnivore,Invertivore,20,2
Bodianus bilunulatus,Carnivore,Invertivore,55,1
Bodianus diana,Carnivore,Invertivore,25,2
Bodianus loxozonus,Carnivore,Invertivore,40,2
Bodianus mesothorax,Carnivore,Invertivore,19,2
Bodianus prognathus,Carnivore,Invertivore,20,2
Cheilinus chlorourus,Carnivore,Invertivore,32,2
