"","REGION","ISLAND","STRATA","YEAR","TotFish","Acanthuridae","Albulidae","Aulostomidae","Balistidae","Belonidae","Carangidae","Carcharhinidae","Chanidae","Congridae","Dasyatidae","Diodontidae","Echeneidae","Ephippidae","Fistulariidae","Ginglymostomatidae","Haemulidae","Holocentridae","Kyphosidae","Labridae","Lethrinidae","Lutjanidae","Monacanthidae","Mullidae","Muraenidae","Myliobatidae","Ophichthidae","Oplegnathidae","Scaridae","Scombridae","Serranidae","Sphyraenidae","Sphyrnidae","Stegostomatidae","Tetraodontidae","UNKNOWN","n"
"136","MHI","Hawaii","Forereef",2008,0.00035877333710545,7.04101018882259e-06,0,2.78338686322436e-05,0,0,9.91385063848512e-06,0,9.92378759671097e-06,0,8.65466750125179e-07,2.40680357213008e-06,0,0,5.84400134507241e-06,0,0,0,0,5.36049749175037e-06,2.30836323384861e-06,1.02743149039967e-05,0,0,8.04558290999483e-06,2.9004939674682e-06,0,2.77967557114538e-06,0.000257200456419308,0,1.1304996407595e-06,2.08266918297748e-06,2.86199506061133e-06,0,0,0,41
"137","PRIAs","Howland","Forereef",2008,0.00695020528728215,0.000346741890429519,0,0,9.92963140139309e-06,0,0.0032210884409704,0.000725766052732799,0,0,6.07491184493985e-06,0,0,0,4.43150647253932e-06,0,0,0,0,0,1.09583338161982e-05,0.000812166294296197,1.21578780160146e-05,0,6.07491184493985e-06,6.85231973796098e-05,0,0,5.03149167913202e-05,3.25708706404757e-05,0.000103389996241033,0.00153348962706112,6.52682734365892e-06,0,0,0,7
"138","PRIAs","Jarvis","Forereef",2008,0.00729033821319357,0.00129962766242212,0,0,0,7.669339310554e-06,0.00104823169701583,0.00138417320005485,0.000253876168194048,0,4.5766863330545e-06,0,0,0,0,0,0,0,0,4.5766863330545e-06,0,0.000601223539729184,0,0,0,4.5766863330545e-06,0,0,0.000212505656279337,1.3757385040518e-05,9.18816087878454e-05,0.0022647556430969,9.89062542632279e-05,0,0,0,7
"139","PRIAs","Johnston","Forereef",2008,0.000709126135471609,6.36340494194484e-06,0,8.2649485609835e-05,0,0,0.000165417665780485,0.000303626228391982,0,0,0,0,0,0,5.89701405836116e-05,0,0,0,0,0,0,3.65097471774641e-05,0,0,4.2656725593672e-06,4.70581178675519e-05,0,0,4.2656725593672e-06,0,0,0,0,0,0,0,8
"140","MHI","Kauai","Forereef",2008,0.000226665164868336,2.73945957757526e-05,0,7.01560476544575e-06,0,0,2.54898208224052e-06,4.41889685261845e-06,6.72365145925995e-06,0,0,0,0,0,2.46154409572781e-06,0,0,0,0,0,0,4.22526828071372e-05,0,0,7.71852811222898e-06,2.54898208224052e-06,0,0,0.000121304666500826,0,0,2.27703033485897e-06,0,0,0,0,18
"141","PRIAs","Kingman","Forereef",2008,0.00305379672837293,9.11339023285562e-05,0,5.89000521107702e-06,0,0,0.000669821491643364,0.00062531448580017,3.55127938322047e-05,0,0,0,0,0,6.23545898329173e-06,0,0,0,0,0,1.72715067685366e-05,0.000859527678070523,2.95405176615136e-06,0,0,2.446915763653e-05,0,0,0.000325706127933428,0,3.50378104435954e-05,0.000334947905498453,1.99743524570447e-05,0,0,0,12
"142","NWHI","Kure","Forereef",2008,0.000811453862409856,5.31445383622836e-05,0,0,0,0,0.000224011827171682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48194515735656e-05,0,4.8907185421904e-06,6.56945446035932e-06,1.92302008877044e-05,4.9911217314729e-06,0.000106378176935724,0.000315920600396957,0,1.14977723479168e-05,0,0,0,0,0,8
"143","MHI","Lanai","Forereef",2008,0.000188087973437126,8.90104170704707e-05,0,1.89666941737692e-05,0,0,2.26113138161423e-05,0,3.1822104167828e-06,0,0,2.75769449729799e-06,0,0,3.1822104167828e-06,0,0,0,0,0,0,1.00311908509446e-05,0,0,0,6.57505331384906e-06,0,0,2.87827297666526e-05,0,2.98845911443383e-06,0,0,0,0,0,12
"144","NWHI","Laysan","Forereef",2008,0.000565404316373609,9.74819068170019e-05,0,0,0,0,8.68818060866247e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55745648814575e-05,3.3666234528204e-05,0,0,2.22725933078396e-05,1.13936412203644e-05,0,0.000106037065226675,0.000162096504305442,0,0,0,0,0,0,0,4
"145","NWHI","Lisianski","Forereef",2008,0.000236276973019951,0,0,6.06877782866745e-06,0,0,0.000150815504999839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37717400913713e-05,0,0,0,5.62095010007365e-06,0,0,0,0,0,0,0,0,0,0,8
"146","NWHI","Maro","Forereef",2008,0.000253905652150852,3.52286700473616e-05,0,4.91519945770675e-06,0,0,5.58650275214733e-05,5.32414518869492e-06,0,0,0,0,0,0,4.87183687403792e-06,0,0,0,0,4.91519945770675e-06,2.45759972885338e-05,4.04021148090213e-05,0,0,0,1.69970700845048e-05,0,4.68506606816441e-05,1.39597307401672e-05,0,0,0,0,0,0,0,10
"147","MHI","Maui","Forereef",2008,0.000271535852465027,1.76698571328506e-05,0,1.04335319274428e-05,0,0,1.90630727365296e-06,0,0,0,0,1.77797749570268e-06,0,0,1.03985673959077e-05,0,0,0,0,0,0,2.01188073507409e-05,0,0,4.63545746808918e-06,8.17281117042673e-06,0,1.90630727365296e-06,0.000189592424027821,0,3.288404717533e-06,1.63539923120606e-06,0,0,0,0,26
