SITEVISITID,SITE,Latitude,Longitude,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1951,MAU-00011,145.20873,20.01348,32.59550062,24.87800038,39.94140068,28.71150053,19.76550039,13.57880022,10.34230018,31.52620056,9.335300175,47.18540068,38.16900067
1950,MAU-00010,145.21238,20.0176,4.159100088,1.043900019,5.742800091,2.237200042,3.89760006,2.733700025,1.632500023,4.70260007,1.530100022,0.585000009,1.997200037
1976,AGR-00057,145.6347193,18.776711,147.3047027,133.7522022,150.2611026,118.006002,139.2399025,127.2113022,106.4646018,122.378302,121.8584021,126.7494021,129.5271022
1973,AGR-00054,145.6767676,18.81122164,147.9554027,133.8238022,150.3833026,118.034102,139.2540025,127.6197022,106.4562018,122.435502,121.8584021,126.7393021,129.4368022
1796,WAK-00058,166.5976849,19.29873451,17.3896003,15.45440026,9.929600176,14.87740027,11.3636002,8.745900147,2.614800062,6.90750012,3.323200054,12.42040021,11.7489002
1827,GUA-00058,144.721177,13.246759,21.7295004,7.737800155,17.03880028,7.635800132,10.00490019,7.369300117,2.975600062,5.387600089,1.984000031,2.292500037,7.447400139
1828,GUA-00059,144.6514146,13.31882536,13.79120023,3.279800062,22.03870036,6.573000113,8.112400163,2.186600043,0.594300013,7.263000114,0.357200004,8.008100128,14.19890024
1854,AGU-00053,145.5280591,14.83678233,136.2658025,104.1185017,129.7196022,105.3707018,114.9831021,111.7655019,86.60420149,103.1883017,92.17230154,97.77280167,96.82600164
1851,AGU-00050,145.5661973,14.86414262,134.5394024,99.67540162,125.8105022,101.2122018,112.743302,107.2844018,82.99320142,101.9427016,92.51490154,98.10000167,97.08290166
1852,AGU-00051,145.5492441,14.85675867,134.0219024,98.91220164,124.6780021,102.2390018,110.416402,109.1768019,83.01420143,101.8191016,89.2537015,93.0804016,91.18410155
1853,AGU-00052,145.5373196,14.8461507,135.3598024,101.5392017,127.3277022,104.3545018,113.046602,110.5002019,85.26080147,102.3945016,90.68720152,95.60660164,94.1089016
1784,WAK-00052,166.5954821,19.31458645,94.29550159,132.0112023,136.6439025,121.7594021,101.7393018,94.45820164,115.550102,101.1413018,105.6487019,108.0459018,129.6770022
1789,WAK-00054,166.6560012,19.27683569,0,0,0,0,0,0,0,0,0,0,0
1799,WAK-00001,166.62753,19.28015,10.70720018,4.952600069,11.2762002,2.880600049,9.580500177,3.092800049,3.471700058,6.288800112,1.570000027,10.5724002,8.73370014
1807,WAK-00065,166.627349,19.31619435,170.7856029,197.5828035,208.2431037,172.3173029,184.3944032,166.1671029,188.0217032,169.3881029,180.5845032,157.9397027,178.5711031
1808,WAK-00066,166.612566,19.28716,10.05490018,6.32120009,10.12780019,3.572400074,9.005800157,3.917900064,2.506100046,5.764400105,0.886600016,8.980800161,9.477500156
1839,ROT-00051,145.2634441,14.15336553,17.95450032,4.295500072,10.69510016,3.930900069,6.049700118,5.585000093,1.236500021,3.132700051,0.58690001,1.129300018,5.464400076
1837,ROT-00003,145.16717,14.114,13.26410025,3.782200061,22.04820035,6.692900103,9.184900197,2.676200044,1.046000015,6.366700121,0.031100001,3.963900067,6.251400091
1823,GUA-00002,144.65307,13.30528,14.67970024,3.572300067,22.75260038,7.571300135,8.237800165,2.173000042,0.600200013,7.352600116,0.651500009,10.83140018,14.29260024
1832,GUA-00061,144.939451,13.547044,111.7544019,101.8390018,103.7697018,92.52190162,109.8029019,107.9785017,88.15690154,90.34850153,103.3515017,92.88630162,95.54900168
1833,GUA-00062,144.8924987,13.504352,83.96590149,67.73210118,72.72000124,75.4802013,76.84540134,87.45690142,61.84970107,64.57400106,69.75350116,58.87710103,50.9191009
1829,GUA-00060,144.633032,13.35776953,17.55450029,6.400900117,24.20450041,10.7116002,9.04980018,2.507900046,1.809400031,9.132000151,1.95230003,13.12900022,14.90900026
1846,ROT-00055,145.2030792,14.17852323,33.05240057,46.17810078,44.52800076,26.46380043,38.48700068,22.34590041,26.53090045,33.82390056,36.45520062,50.52150085,54.11090097
1847,ROT-00056,145.17842,14.17029,42.0531007,55.93960094,53.84380094,31.16870053,47.66150085,31.48360058,39.58770069,44.70510077,44.26330077,60.99080105,71.5134013
1804,WAK-00063,166.6424299,19.27503794,0,0,0,0,0,0,0,0,0,0,0
1803,WAK-00062,166.6459446,19.27325101,9.708400161,4.99250007,10.26100019,2.469400046,9.459500171,2.38640004,2.872800047,5.996700107,1.22740002,9.29730017,8.341500134
1831,GUA-00014,144.9164833,13.5158,94.31760164,74.07130129,82.84630141,79.69030138,84.47090147,91.8252015,67.93330118,72.17670119,73.10550121,63.42940111,60.63630108
1830,GUA-00008,144.877467,13.4888,69.5467012,52.19780088,58.42830097,64.49840112,55.78120097,73.6449012,44.60450077,48.36060079,54.8722009,42.36890075,31.96480058
1834,GUA-00063,144.7787045,13.37681187,102.0437018,91.99430162,93.80350163,86.6506015,101.3305018,100.1781016,82.15830145,83.2708014,93.29200153,82.09560144,81.87560144
1786,WAK-00013,166.64288,19.31576,198.7325034,216.4193039,221.154904,195.4820033,207.9456035,190.5904033,203.4444035,187.4110032,210.6101038,182.0878031,195.8830034
